DATES,OPEN,ADJ_CLOSE
2017-07-18,245,250
2017-07-19,246,250
2017-07-21,250,250
2017-07-24,,
2017-07-26,250,250
2017-07-27,250,250
2017-07-28,250,250
2017-07-31,250,250
2017-08-01,,
2017-08-03,250,250
2017-08-08,250,250
2017-08-11,250,250
2017-08-14,250,250
2017-08-16,250,250
2017-08-17,250,250
2017-08-22,252,252
2017-08-23,253,253
2017-08-24,253,255
2017-08-25,255,280
2017-08-29,280,253
2017-08-30,253,270
2017-08-31,270,280
2017-09-04,,
2017-09-05,280,280
2017-09-06,280,280
2017-09-07,280,280
2017-09-08,280,280
2017-09-11,280,280
2017-09-12,280,280
2017-09-13,280,280
2017-09-14,280,280
2017-09-15,280,280
2017-09-19,280,280
2017-09-20,280,280
2017-09-21,280,280
2017-09-22,,
2017-09-25,280,280
2017-09-26,280,280
2017-09-29,280,280
2017-10-04,280,280
2017-10-05,280,279
2017-10-06,279,280
2017-10-09,280,275
2017-10-10,275,280
2017-10-11,280,280
2017-10-12,280,280
2017-10-13,,
2017-10-17,,
2017-10-19,,
2017-10-20,,
2017-10-23,,
2017-10-26,280,275
2017-10-27,,
2017-10-30,,
2017-11-01,275,285
2017-11-02,285,285
2017-11-03,285,285
2017-11-06,285,285
2017-11-07,285,285
2017-11-08,285,285
2017-11-09,,
2017-11-10,,
2017-11-16,285,285
